"id","idasientopre","cuando","ejemplo","nota"
"158","158","Al cierre del ejercicio con pérdidas, cuando la base imponible del IS es negativa. Se activa el crédito fiscal por la BIN si es probable que se pueda compensar con beneficios futuros.","Pérdida fiscal del ejercicio: 10.000 €. Tipo IS 25%. Crédito fiscal = 2.500 €.
• A = 0 | B = 2.500
Resultado: activo fiscal 2.500 € (cuenta 4745), ingreso diferido 2.500 € (6301).","COMPENSACIÓN DE BINs EN IS:
• Las BINs se pueden compensar con beneficios futuros sin límite temporal.
• Límite de compensación anual:
  - General: 70% de la base imponible positiva previa.
  - Empresas con facturación > 20M€: límites menores (50% o 25%).
  - Siempre se puede compensar hasta 1.000.000 €.

AL COMPENSAR EN AÑO FUTURO:
Cuando usas la BIN para reducir el IS de un ejercicio con beneficios:
6301 debe / 4745 haber (revierte el crédito fiscal).

SI NO ES PROBABLE LA COMPENSACIÓN:
No actives la cuenta 4745. Cuando haya perspectivas de beneficios futuros, puedes activarla entonces."
"159","159","Cuando existe una diferencia temporaria IMPONIBLE: un ingreso ya tributado fiscalmente pero aún no reconocido contablemente, o un gasto deducido fiscalmente antes de ser contabilizado (ej: amortización acelerada en IS).","Amortización acelerada IS: contable 2.000 €, fiscal 4.000 €. Diferencia 2.000 €. Tipo 25%.
Pasivo diferido = 2.000 × 25% = 500 €.
• A = 0 | B = 500
Resultado: gasto impuesto diferido 500 € (6301), pasivo 500 € (479).","¿CUÁNDO SE GENERA UN PASIVO POR IMPUESTO DIFERIDO?
• Amortización acelerada fiscalmente permitida (deduces más en IS de lo que amortizan los libros).
• Libertad de amortización para ciertos elementos.
• Ingresos contabilizados antes de tributar.

REVERSIÓN:
Cuando la diferencia temporal se elimina (el libro alcanza al fiscal):
479 debe / 6301 haber (ingreso impuesto diferido).

RELACIÓN CON LOS TIPOS IS 2025:
Con los nuevos tipos para microempresas y PYMES (21-24%), el valor de los activos y pasivos diferidos existentes se recalcula al nuevo tipo efectivo."
"160","160","Cuando pagas la prima del seguro de salud privado del autónomo, su cónyuge e hijos menores de 25 años que convivan en el hogar. Es un gasto deducible específico en IRPF estimación directa.","Prima mensual seguro médico: 80 € (autónomo) + 70 € (cónyuge) = 150 €.
• A = 001 | B = 150
Resultado: gasto seguro 150 € (cuenta 625), deuda con aseguradora 150 €.","LÍMITE DE DEDUCCIÓN EN IRPF:
• 500 € por persona asegurada (autónomo, cónyuge, hijos menores de 25 años).
• Si el asegurado tiene discapacidad: límite de 1.500 €.
• Ejemplo: autónomo + cónyuge + 2 hijos = 4 × 500 € = 2.000 € máximo deducible.

IMPORTANTE:
• Solo deducible en ESTIMACIÓN DIRECTA (normal y simplificada).
• En módulos: NO es gasto deducible.
• IVA: los seguros de salud están EXENTOS de IVA. No hay IVA a deducir.
• Distinto del seguro de empresa genérico (accidentes, responsabilidad civil, etc.) que va al asiento #103.

SI SUPERAS EL LÍMITE:
La prima que supere los 500 € por persona no es deducible fiscalmente aunque sí se contabiliza como gasto."
"161","161","Cuando incurres en gastos por comidas o cenas de trabajo con clientes o proveedores, regalos empresariales, invitaciones a eventos, etc. relacionados con la actividad.","Comida de trabajo con cliente en restaurante: 120 € base + 12 € IVA (10%) = 132 €.
• A = 0 | B = 120 | C = 12 | Z = 132
Resultado: gasto representación 120 € (cuenta 627), IVA 12 €, sale del banco.","DEDUCIBILIDAD EN IS:
Deducibles hasta el 1% del importe neto de la cifra de negocios del ejercicio. Por encima de ese límite, no son deducibles.

DEDUCIBILIDAD EN IRPF (estimación directa):
Deducibles si están relacionados con la actividad, debidamente justificados y con criterio de proporcionalidad. Hacienda suele exigir ticket + nombre del cliente/proveedor + motivo de la reunión.

IVA EN RESTAURACIÓN:
• Comidas: IVA 10%. Solo deducible en la proporción afecta a la actividad.
• Hacienda presume que las comidas son de uso mixto → IVA deducible 50% si hay indicios de uso profesional.

REGALOS A CLIENTES:
• Deducibles hasta 200 € por destinatario y año sin constituir autoconsumo.
• Por encima de 200 €: autoconsumo (asiento #153).
• El IVA de los regalos NO es deducible aunque la empresa lo pague.

FACTURA OBLIGATORIA:
Para deducir el gasto, necesitas factura completa (no vale solo ticket)."
"162","162","Cuando usas tu vehículo personal para desplazamientos de trabajo y cargas el gasto a la empresa o a tu actividad. El IRPF fija un baremo de 0,26 €/km para 2025.","350 km de desplazamiento a cliente en enero. Baremo IRPF: 0,26 €/km.
Gasto = 350 × 0,26 = 91 €.
• A = 0 | B = 91
Resultado: gasto desplazamiento 91 € (cuenta 623), sale del banco.","BAREMO IRPF 2025:
0,26 €/km para vehículos de gasolina, diésel, híbrido y eléctrico.
Es un módulo de exención de IRPF, no el coste real del combustible.

DOCUMENTACIÓN OBLIGATORIA:
Debes registrar: fecha, origen, destino, motivo del viaje y km recorridos. Sin este registro detallado, Hacienda puede denegar la deducción en inspección.

IS (SOCIEDADES):
En IS no existe el baremo fijo de 0,26 €/km. El gasto deducible debe acreditarse con el coste real (combustible, seguro proporcional, amortización, etc.). En la práctica muchas empresas aplican también el baremo del IRPF como referencia razonable.

EMPLEADOS:
Las dietas por kilometraje pagadas a empleados también van en cuenta 623. El trabajador no tributa en IRPF por el importe exento (0,26 €/km), si se superara ese baremo el exceso sería rendimiento del trabajo.

DIFERENCIA CON #123 (dietas):
El asiento #123 cubre dietas de manutención y alojamiento. El kilometraje es una categoría distinta."
"163","163","Cuando pagas la cuota de colegiación a un colegio profesional (médicos, abogados, arquitectos, ingenieros, economistas, gestores, etc.) o la cuota a una asociación empresarial o gremio.","Cuota anual Colegio de Gestores Administrativos: 360 €.
• A = 001 | B = 360
Resultado: gasto 360 € (cuenta 629), deuda con el colegio 360 €.","DEDUCIBILIDAD EN IRPF:
Las cuotas de colegios profesionales son deducibles como gasto de la actividad en estimación directa, con un límite de 500 € anuales en rendimientos del trabajo (pero sin límite explícito en rendimientos de actividades económicas si la colegiación es obligatoria para ejercer).

DEDUCIBILIDAD EN IS:
Gasto deducible sin límite si está relacionado con la actividad de la sociedad.

ASSOCIACIONES EMPRESARIALES (ATA, CEOE, etc.):
Las cuotas a asociaciones empresariales también son deducibles. Van igualmente a cuenta 629.

IVA:
Las cuotas de colegios profesionales están exentas de IVA (son entidades sin ánimo de lucro). No hay IVA a deducir."
"164","164","Cuando la empresa realiza operaciones con personas o entidades vinculadas (socios > 25%, administradores, cónyuge o familiares hasta 3er grado) a un precio que NO es el de mercado. La AEAT exige que estas operaciones tributen al valor de mercado.","Socio presta servicios a la SL por 500 €/mes cuando el precio de mercado sería 800 €/mes. Diferencia: 300 €.
• B = 500 | C = 300 | Z = 800
Resultado: gasto real a valor mercado 800 €, crédito con socio 800 €.","¿QUÉ SON PERSONAS VINCULADAS?
• Socios con participación ≥ 25%.
• Administradores y consejeros.
• Cónyuge o familiares hasta 3er grado de los anteriores.
• Sociedades del mismo grupo.
• Entidades participadas ≥ 25% por los mismos socios.

OBLIGACIÓN DE DOCUMENTACIÓN:
Operaciones vinculadas > 250.000 €/año con la misma persona: documentación específica de precios de transferencia.
Modelo 232: declaración informativa de operaciones vinculadas. Plazo: mes siguiente a los 10 meses del cierre (octubre para ejercicios cerrados en diciembre).

CASO MÁS FRECUENTE:
Socio-administrador que factura a su propia SL honorarios por debajo de mercado para optimizar fiscalidad. La AEAT puede ajustar el precio en ambas partes.

SANCIÓN POR INCUMPLIMIENTO:
Multa del 15% sobre el ajuste practicado por la AEAT, con mínimo de 3.000 €."
"165","165","Cuando la junta de socios acuerda reducir el capital social de la sociedad devolviendo aportaciones a los socios. Requiere escritura pública e inscripción en el Registro Mercantil.","Reducción de capital de 10.000 € (2 socios al 50%, 5.000 € cada uno):
• A = 0 | B = 10.000
Resultado: reduce capital social (cuenta 100), sale dinero del banco a los socios.","PROCEDIMIENTO LEGAL:
1. Acuerdo en Junta General (mayoría reforzada según estatutos).
2. Publicación en BORME (si hay acreedores que puedan oponerse).
3. Escritura pública ante notario.
4. Inscripción en Registro Mercantil.
5. La reducción no surte efectos hasta la inscripción.

TRIBUTACIÓN PARA EL SOCIO:
La devolución de aportaciones reduce el valor de adquisición de las participaciones. El socio no tributa en el momento de la devolución (sí tributará cuando venda las participaciones, por la menor ganancia o mayor pérdida patrimonial).
Si la devolución supera el valor de adquisición de las participaciones, el exceso tributa como rendimiento de capital mobiliario (con retención del 19%).

MODELO 123:
Si parte de la devolución se considera dividendo (supera el valor de adquisición), la sociedad debe practicar retención del 19% e ingresarla con el modelo 123."
"166","166","Cuando cobras de un cliente mediante Bizum por tu actividad empresarial o profesional. El asiento contable es idéntico a cualquier cobro bancario, pero desde febrero de 2026 tiene especial relevancia fiscal.","Cobro de cliente por Bizum: 350 €.
• A = 001 | B = 350
Resultado: entra dinero en banco (572), cancela deuda del cliente (430).","NOVEDAD FEBRERO 2026 — CONTROL AEAT:
Desde febrero de 2026, los bancos y plataformas de pago deben informar mensualmente a la Agencia Tributaria de todos los cobros recibidos vía Bizum por autónomos y empresas, sin importe mínimo.

Esto afecta a cualquier cobro Bizum vinculado a una actividad económica. Los pagos entre particulares quedan excluidos.

¿QUÉ IMPLICA PARA TI?
• Todos los cobros Bizum de tu actividad deben estar facturados y declarados.
• La AEAT cruzará estos datos con tus declaraciones de IVA e IRPF/IS.
• Si hay cobros Bizum no declarados, la AEAT puede iniciar una comprobación.

RECOMENDACIÓN:
• Usa una cuenta bancaria separada para cobros de la actividad.
• Registra cada cobro Bizum con su factura o ticket correspondiente.
• Si recibes pagos de particulares sin factura (peluquería, fontanería, clases particulares...), asegúrate de declararlos en el modelo 303 y en el IRPF/IS."
"167","167","Cuando un cliente te paga en criptomonedas (Bitcoin, Ethereum, USDT, etc.) el importe de una factura. Cada cobro en crypto es un hecho imponible.","Factura emitida por 1.000 €. Cliente paga en Bitcoin. En el momento del pago, el Bitcoin recibido vale 1.050 €.
• B = 1.050 (valor crypto recibido) | C = 1.000 (factura) | D = 50 (ganancia)
Resultado: activo crypto 1.050 €, cancela cliente 1.000 €, ingreso financiero 50 €.","TRATAMIENTO FISCAL DE LAS CRIPTOMONEDAS:
• Cada operación (recibir, vender, pagar con crypto) es un hecho imponible.
• El valor en euros se determina al tipo de cambio del momento de la operación.

EN IS (SOCIEDADES):
Las criptomonedas son activos financieros (cuenta 540 si < 1 año, 250 si > 1 año). Las variaciones de valor se registran según la normativa de instrumentos financieros.

EN IRPF (AUTÓNOMOS):
Si recibes crypto como pago de tu actividad, tributa como rendimiento de la actividad por el valor en euros en ese momento.
Cuando luego vendes o gastas las criptos, tributa la ganancia/pérdida patrimonial en la base del ahorro (19-28%).

MODELO 721:
Si tienes criptomonedas custodiadas en exchanges EXTRANJEROS superiores a 50.000 €, debes declararlo en el modelo 721 (equivalente al 720 para crypto).

OBLIGACIÓN DE REGISTRO:
Lleva un registro detallado de cada operación: fecha, tipo de operación, moneda, cantidad, valor en euros y contraparte."
"168","168","Cuando facturas sin IVA porque estás acogido al régimen de franquicia de IVA (pequeños contribuyentes con facturación por debajo del umbral legal). También aplica a operaciones exentas de IVA por su naturaleza (médicos, enseñanza, seguros...).","Factura de servicios de consultoría sin IVA (actividad exenta): 800 €.
• A = 001 | B = 800
Resultado: derecho de cobro 800 €, ingreso 800 €.","RÉGIMEN DE FRANQUICIA DE IVA (PENDIENTE EN ESPAÑA):
La Directiva UE 2020/285 prevé un régimen de franquicia que permite a autónomos con facturación inferior a un umbral (85.000 € aproximadamente) no repercutir IVA ni presentar declaraciones periódicas. En 2026, España aún no ha implantado este régimen. Consulta con tu gestor si ha entrado en vigor.

OPERACIONES EXENTAS DE IVA (ya vigentes):
• Servicios médicos y sanitarios.
• Enseñanza reglada y formación profesional.
• Servicios financieros y de seguros.
• Arrendamiento de vivienda habitual.
• Operaciones inmobiliarias en segunda transmisión.

SI ESTÁS EXENTO:
• No repercutes IVA en tus facturas.
• No puedes deducirte el IVA soportado en tus compras.
• No presentas el modelo 303.
• Tus compras incluyen el IVA como mayor coste (va al gasto o al activo)."
"169","169","Cuando recibes una factura de proveedor con pago fraccionado en tres plazos (30-60-90 días o cualquier escalonado). El gasto e IVA se registran íntegros al recibir la factura. Los pagos parciales se registran con el asiento #170 en cada vencimiento.","Factura proveedor: base 3.000 € + IVA 630 € = total 3.630 €. Tres plazos iguales de 1.210 €:
• B = 3.000 | C = 630 | D = 1.210 | E = 1.210 | F = 1.210
(D+E+F = 3.630 = B+C ✓)

Resultado: gasto 3.000 €, IVA deducible 630 €, deuda proveedor en tres vencimientos.","IVA: se deduce íntegramente al recibir la factura, aunque pagues en plazos.

CONTROL DE VENCIMIENTOS:
Usa subcuentas distintas para cada plazo (400.001, 400.002, 400.003) y anota la fecha de vencimiento en las notas del asiento. Así el balance muestra cuánto vence en cada fecha.

PARA SERVICIOS:
Cambia la cuenta 600 por la cuenta de gasto correspondiente (621 alquiler, 623 servicios, 625 seguros, etc.).

SI EL PROVEEDOR EMITE LETRAS O PAGARÉS:
Registra primero la factura con este asiento y luego acepta los efectos:
DEBE 400.A / HABER 4010.A por cada vencimiento.
Puedes descontarlos en el banco (asiento #75)."
"170","170","Cuando llega la fecha de cada uno de los vencimientos de una factura registrada con el asiento #169. Se repite una vez por cada plazo.","Pago del 1er vencimiento: 1.210 €.
• A = 001 | B = 1.210
Resultado: cancela la deuda del primer plazo (400), sale dinero del banco (572).

Repetir para el 2º (E) y 3er vencimiento (F) en sus fechas respectivas.","USA LA MISMA SUBCUENTA que en el asiento #169 para ese vencimiento concreto.

SI PAGAS ANTES DE PLAZO CON DESCUENTO:
DEBE 400.A (importe original) / HABER 572 (importe pagado) / HABER 7650 (descuento por pronto pago).

SI NO PUEDES PAGAR Y RENEGOCÍAS:
Haz un nuevo asiento trasladando la deuda al nuevo vencimiento acordado:
DEBE 400.A (vencimiento antiguo) / HABER 400.B (nuevo vencimiento)."
"171","171","Cuando emites una factura a un cliente con cobro fraccionado en tres plazos. El ingreso e IVA se registran íntegros al emitir la factura. Los cobros parciales se registran con el asiento #172 en cada vencimiento.","Factura cliente: base 5.000 € + IVA 1.050 € = total 6.050 €. Tres plazos:
• 30 días: 2.000 € | 60 días: 2.000 € | 90 días: 2.050 €
• B = 5.000 | C = 1.050 | D = 2.000 | E = 2.000 | F = 2.050
(D+E+F = 6.050 = B+C ✓)

Resultado: ingreso 5.000 €, IVA repercutido 1.050 €, derecho de cobro en tres vencimientos.","IVA: se devenga y declara íntegro en el modelo 303 del trimestre en que emites la factura, aunque cobres en plazos.

EXCEPCIÓN — CRITERIO DE CAJA (RECC):
Si estás en RECC, el IVA se devenga al cobrar cada plazo. Usa los asientos #155 y #156.

CONTROL DE COBROS:
Usa subcuentas distintas (430.001, 430.002, 430.003) y anota la fecha de vencimiento en las notas del asiento.

SI EL CLIENTE FIRMA PAGARÉS:
Registra primero la venta con este asiento y luego los efectos:
DEBE 4310.A / HABER 430.A por cada vencimiento.
Puedes descontarlos en el banco (asiento #75).

PARA SERVICIOS:
Cambia cuenta 700 por 705."
"172","172","Cuando llega la fecha de cada uno de los vencimientos de una factura registrada con el asiento #171. Se repite una vez por cada plazo que se cobra.","Cobro del 1er vencimiento: 2.000 €.
• A = 001 | B = 2.000
Resultado: entra dinero en banco (572), cancela el derecho de cobro del primer plazo (430).

Repetir para el 2º (E) y 3er vencimiento (F) en sus fechas respectivas.","USA LA MISMA SUBCUENTA que en el asiento #171 para ese vencimiento concreto.

SI EL CLIENTE NO PAGA AL VENCIMIENTO:
Reclasifica a clientes de dudoso cobro:
DEBE 436.A / HABER 430.A (asiento #119).
Si definitivamente no cobra, baja como fallido (asiento #120).

SI EL CLIENTE TIENE EFECTOS (pagarés):
• Si paga: asiento #76 (cobro efecto al vencimiento).
• Si no paga: asiento #77 (efecto impagado).

SI CONCEDES DESCUENTO POR PRONTO PAGO:
DEBE 572 (cobrado) / DEBE 6650 (descuento concedido) / HABER 430 (importe original)."
"173","173","Cuando Hacienda concede el aplazamiento o fraccionamiento de una deuda tributaria (IRPF, IVA, IS, retenciones...). En ese momento la deuda deja de estar vencida y pasa a estar aplazada, con un calendario de pagos y unos intereses de demora.","IS a pagar de julio: 8.000 €. Hacienda concede aplazamiento en 4 plazos.
• A = 0 | B = 8.000
Resultado: cancela la deuda vencida (4750) y la registra como aplazada (4758).","CÓMO SOLICITAR EL APLAZAMIENTO:
• Presentar la autoliquidación en plazo (303, 130, 200...) aunque no puedas pagar.
• Solicitar el aplazamiento/fraccionamiento en la sede electrónica de la AEAT antes o simultáneamente.
• Si la deuda es < 50.000 €: concesión automática sin garantías.
• Si la deuda es ≥ 50.000 €: requiere aval bancario, seguro de caución u otras garantías.

INTERÉS DE DEMORA 2025: 7,25% anual (tipo de interés legal del dinero + 25%).
Los intereses se calculan desde el día siguiente al vencimiento original hasta cada fecha de pago.

CUENTA 4758:
H.P. deudora por aplazamiento — recoge la deuda aplazada pendiente de pago. Se va cancelando a medida que pagas cada plazo.

DEUDAS NO APLAZABLES:
Las retenciones (111, 115) y los pagos fraccionados del IS (202) NO son aplazables desde 2017 salvo circunstancias excepcionales."
"174","174","Al vencer cada plazo del aplazamiento, Hacienda cobra además de la cuota de principal los intereses de demora devengados desde el día siguiente al vencimiento original hasta la fecha del pago. Este asiento registra el gasto financiero.","Plazo 1 del aplazamiento: capital 2.000 €. Días transcurridos: 90. Interés 7,25%.
Intereses = 2.000 × 7,25% × (90/365) = 35,75 €.
• A = 0 | B = 35,75
Resultado: gasto intereses demora 35,75 € (cuenta 669), aumenta deuda con Hacienda.","CÁLCULO DE LOS INTERESES:
Intereses = Principal pendiente × tipo demora × (días / 365)
Tipo de demora 2025: 7,25% anual.
Hacienda te envía una carta con el importe exacto de cada plazo (capital + intereses).

NO DEDUCIBLES EN IS:
Los intereses de demora tributarios son deducibles en IS como gasto financiero (cuenta 669). La DGT confirmó en 2016 que sí son deducibles, a diferencia de las sanciones (cuenta 659) que NO lo son.

HACERLO EN EL MOMENTO DEL PAGO:
Puedes devengar los intereses en el momento de cada pago (más práctico) en lugar de periódicamente, especialmente si el aplazamiento es corto."
"175","175","Cuando pagas cada uno de los plazos del aplazamiento concedido por Hacienda. Cada pago incluye una parte de capital (la deuda original prorrateada) más los intereses de demora devengados hasta esa fecha.","Plazo 1: capital 2.000 € + intereses demora 35,75 € = total 2.035,75 €.
• A = 0 | B = 2.000 | C = 35,75 | Z = 2.035,75
Resultado: cancela deuda aplazada 2.000 € (4758), gasto intereses 35,75 € (669), sale del banco 2.035,75 €.","CARTA DE PAGO DE LA AEAT:
Hacienda te envía (o puedes descargar de la sede electrónica) la carta de pago de cada plazo con el importe exacto desglosado en capital e intereses. Usa esos importes como B y C.

SI PAGAS CON DOMICILIACIÓN:
La AEAT carga automáticamente cada plazo en la cuenta que indicaste en la solicitud. El asiento se hace en la fecha del cargo bancario.

SI INCUMPLES UN PLAZO:
El aplazamiento queda sin efecto y la deuda total (más intereses adicionales y posibles recargos) vence de inmediato. La AEAT inicia el procedimiento de apremio.

FRACCIONAMIENTO EN MUCHOS PLAZOS:
Repite este asiento una vez por cada plazo. Los importes de C (intereses) serán distintos en cada plazo porque el capital pendiente va disminuyendo."
"176","176","Cuando presentas y pagas una autoliquidación (303, 130, 111...) fuera del plazo voluntario pero sin que Hacienda te haya requerido previamente. La AEAT aplica un recargo reducido que sustituye a las sanciones e intereses.","IVA 1T no presentado en plazo. Cuota: 1.500 €. Presentas con 2 meses de retraso (recargo 10%).
Recargo = 1.500 × 10% = 150 €.
• A = 0 | B = 150
Resultado: gasto recargo 150 € (cuenta 669), sale del banco.","ESCALA DE RECARGOS (sin requerimiento previo):
• Hasta 1 mes de retraso:    5% sobre la cuota (sin intereses ni sanción)
• De 1 a 2 meses:           10% sobre la cuota
• De 2 a 3 meses:           15% sobre la cuota
• Más de 3 meses:           20% + intereses de demora desde el día 91

DESDE LA REFORMA 2021 (Ley 11/2021):
El recargo se calcula al 1% por cada mes completo de retraso hasta el 12º mes (1%, 2%, 3%... 12%). A partir del mes 13: 15% + intereses de demora. Comprueba qué tabla está vigente en el momento de presentar.

¿ES DEDUCIBLE?
El recargo por presentación extemporánea es deducible en IS como gasto financiero (cuenta 669), a diferencia de las sanciones (659) que no lo son. Este criterio ha sido ratificado por el Tribunal Supremo.

DIFERENCIA CON SANCIÓN:
El recargo se aplica cuando tú presentas voluntariamente fuera de plazo. Si es Hacienda quien te detecta primero (requerimiento previo), se aplica sanción (asiento #118), que no es deducible."
"177","177","Cuando Hacienda inicia el procedimiento ejecutivo de cobro porque no pagaste en periodo voluntario. Se añade un recargo de apremio sobre la deuda original más los intereses de demora ya devengados.","Deuda de IS no pagada: 5.000 €. Hacienda inicia apremio. Recargo ordinario 20% = 1.000 €.
• A = 0 | B = 1.000
Resultado: gasto recargo apremio 1.000 € (cuenta 659, NO deducible), sale del banco.","TIPOS DE RECARGO DE APREMIO:
• Recargo ejecutivo (5%): si pagas antes de que te notifiquen la providencia de apremio.
• Recargo de apremio reducido (10%): si pagas en el plazo dado en la providencia de apremio.
• Recargo de apremio ordinario (20%): si no pagas en ese plazo. Se añaden además intereses de demora.

¿ES DEDUCIBLE EN IS?
NO. El recargo de apremio tiene naturaleza sancionadora y NO es deducible en IS (cuenta 659).
Diferencia clave:
• Recargo extemporáneo (#176): deducible (cuenta 669)
• Recargo de apremio (#177): NO deducible (cuenta 659)
• Sanción tributaria (#118): NO deducible (cuenta 659)

CÓMO EVITARLO:
Solicitar aplazamiento (#173) antes de que venza el plazo voluntario. Una vez iniciado el apremio, el recargo es inevitable."
"178","178","Cuando pagas la tasa municipal por el vado permanente (entrada y salida de vehículos al garaje, nave o local). Se paga anualmente al Ayuntamiento y lleva la señal de vado en la acera.","Tasa anual vado permanente: 180 €.
• A = 0 | B = 180
Resultado: gasto tributo 180 € (cuenta 631), sale del banco.","NATURALEZA JURÍDICA:
Es una TASA municipal (no un impuesto), que se paga por la utilización privativa o el aprovechamiento especial del dominio público local (la acera reservada frente a tu garaje o nave).

DEDUCIBILIDAD:
• IS: deducible como gasto (cuenta 631 — Otros tributos).
• IRPF estimación directa: deducible si el garaje o nave está afecto a la actividad.
• En módulos: no es gasto deducible (el rendimiento ya está calculado por módulos).

SIN IVA: las tasas municipales están fuera del ámbito del IVA. No hay IVA a deducir.

PAGO:
Normalmente se paga en el primer trimestre del año mediante recibo domiciliado o en la tesorería municipal. Algunos Ayuntamientos lo giran en otros meses.

PLACA Y SEÑALIZACIÓN:
La placa de vado la suministra el Ayuntamiento al pagar la tasa. Su coste puede ir incluido en la primera liquidación o facturarse aparte (gasto menor, cuenta 629)."
"179","179","Cuando pagas la tasa municipal de recogida de basuras o residuos sólidos urbanos del local, nave u oficina donde desarrollas la actividad. La periodicidad varía según el Ayuntamiento (anual, semestral o trimestral).","Tasa anual recogida basuras local comercial: 240 €.
• A = 0 | B = 240
Resultado: gasto tasa residuos 240 € (cuenta 631), sale del banco.","¿QUIÉN PAGA LA TASA DE RESIDUOS?
Depende del municipio y del contrato de arrendamiento:
• Si eres PROPIETARIO del local: la pagas tú siempre.
• Si eres ARRENDATARIO: depende del contrato. Si el contrato dice que los gastos de comunidad y tasas van a cargo del arrendatario, la pagas tú. Si no dice nada, suele pagarla el propietario.
• Revisa tu contrato de alquiler antes de contabilizarla.

SIN IVA: es una tasa pública, sin IVA.

DEDUCIBILIDAD:
• IS e IRPF estimación directa: deducible (cuenta 631).
• Si el local es tu vivienda habitual como autónomo: solo deducible en la proporción del espacio afecto a la actividad.

CANON DE SANEAMIENTO O ALCANTARILLADO:
Algunos municipios cobran también un canon de saneamiento (tratamiento de aguas residuales). Mismo tratamiento: cuenta 631, sin IVA."
"180","180","Cuando pagas el IBI (Impuesto sobre Bienes Inmuebles) del local, nave, oficina u otro inmueble de uso empresarial que es propiedad de la empresa o del autónomo.","IBI anual nave industrial: 850 €.
• A = 0 | B = 850
Resultado: gasto tributo 850 € (cuenta 631), sale del banco.","¿QUIÉN PAGA EL IBI?
El IBI lo paga el PROPIETARIO del inmueble, no el arrendatario.
• Si eres propietario del local y lo usas tú: este asiento.
• Si eres arrendatario (alquilas el local): NO pagas el IBI. Lo paga el propietario. Algunos contratos repercuten el IBI al inquilino, en cuyo caso sí lo contabilizas aquí como gasto.
• Si eres propietario y lo alquilas a un tercero: pagas el IBI y es gasto deducible contra los ingresos del alquiler (asiento #133).

DEDUCIBILIDAD:
• IS: deducible como gasto (cuenta 631).
• IRPF estimación directa: deducible si el inmueble está afecto a la actividad.
• Autónomos en vivienda: solo la parte proporcional al espacio de actividad.

SIN IVA: el IBI es un impuesto, no una tasa. No lleva IVA.

PAGO:
Normalmente en el tercer trimestre del año (agosto-octubre según municipio), mediante recibo domiciliado o en periodo voluntario de cobranza."
"181","181","Cuando pagas el impuesto de circulación (IVTM) de los vehículos propiedad de la empresa: furgonetas, camiones, turismos, motocicletas, etc. Se paga anualmente al Ayuntamiento del municipio donde está matriculado el vehículo.","IVTM furgoneta de reparto (potencia 16 CV): 112 €.
• A = 0 | B = 112
Resultado: gasto tributo 112 € (cuenta 631), sale del banco.","CUOTAS IVTM (orientativas según potencia para turismos):
• Hasta 7,99 CV: 25 €
• De 8 a 11,99 CV: 68 €
• De 12 a 15,99 CV: 144 €
• De 16 a 19,99 CV: 179 €
• Más de 20 CV: 224 €
Los Ayuntamientos pueden aplicar coeficientes correctores (hasta ×2). Comprueba la cuota en tu municipio.

DEDUCIBILIDAD:
• IS: deducible siempre que el vehículo esté en el patrimonio empresarial.
• IRPF: deducible si el vehículo está afecto a la actividad. Para vehículos mixtos (turismo), Hacienda puede cuestionar la deducción total.

SIN IVA: es un impuesto municipal sin IVA.

BAJA DEL VEHÍCULO:
Si vendes o das de baja el vehículo durante el año, el IVTM se prorratea por trimestres. Solicita la devolución proporcional al Ayuntamiento.

EXENCIONES:
• Vehículos de organismos públicos.
• Ambulancias y vehículos de uso sanitario.
• Vehículos para personas con discapacidad.
• Vehículos eléctricos: muchos Ayuntamientos aplican bonificaciones del 75-100%."
"182","182","Cuando pagas la tasa municipal por ocupar la vía pública con terrazas (veladores, mesas y sillas), contenedores de obra, andamios, grúas, vallas publicitarias, cajeros automáticos en fachada o cualquier otro aprovechamiento del dominio público local.","Tasa terraza bar: 8 mesas × 4 sillas × tarifa 4 €/unidad/mes × 6 meses temporada = 768 €.
• A = 0 | B = 768
Resultado: gasto tasa 768 € (cuenta 631), sale del banco.","TIPOS DE TASAS POR OCUPACIÓN DE VÍA PÚBLICA:
• Terrazas y veladores: por mesa, silla o m² de ocupación. Suele pagarse por temporada (primavera-verano) o anualmente.
• Contenedores y vallas de obra: por m² de ocupación y día. Se liquida al solicitar la licencia de obra.
• Andamios: igual que contenedores.
• Cajeros automáticos en fachada: cuota anual por unidad.
• Quioscos y puestos en mercados: cuota periódica por m² o puesto.
• Publicidad en vía pública (vallas, pantallas): cuota según m² y municipio.

SIN IVA: tasa pública, sin IVA.

DEDUCIBILIDAD:
• IS e IRPF estimación directa: deducible (cuenta 631) si la ocupación está relacionada con la actividad.

LICENCIA PREVIA:
Muchas ocupaciones requieren licencia municipal antes de instalar. La tasa va ligada a la concesión de la licencia y se paga aunque no la apruebes."
